Human,Algorithm,Runtime
01329570,01329563,1.4830341339111328
01329640,01329623,1.9856221675872803
01329644,01329339,1.8810770511627197
01329650,01330914,1.8450376987457275
01329780,00345000,2.702605962753296
01329900,01329964,2.080615282058716
01329907,01329911,2.083247184753418
01329915,01329915,2.711359977722168
01329992,01329985,2.1160528659820557
01329996,01329996,1.6663548946380615
01330000,01329928,1.819390058517456
01330010,00345000,1.827942132949829
01330550,01330479,3.4050419330596924
01330810,00345000,1.959902048110962
01330813,01330808,1.7941210269927979
01330815,01330798,2.177666187286377
01330818,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01330825,01330807,4.063096761703491
01330880,01330719,2.5828237533569336
01330884,01330853,1.992781639099121
01330890,01330882,1.4549338817596436
01330912,01330913,1.455700159072876
01330975,00345000,4.2084550857543945
01331095,01331093,1.660188913345337
01331100,01331094,1.6488540172576904
0133335001,01333523,2.2336080074310303
01333370,01333366,1.8590710163116455
01333382,01333385,2.4010448455810547
01333383,00345000,1.5594696998596191
01333387,01333378,1.447801113128662
01333400,01333493,1.5579819679260254
01333520,01333495,1.46244215965271
01333530,01333423,1.7977771759033203
01333700,01333745,2.6461129188537598
01333760,01333747,1.901684045791626
01333763,01334348,1.6656417846679688
01334100,01333757,1.8754920959472656
01334500,01334548,1.4696550369262695
01334550,01334502,1.4425179958343506
01334800,01334802,1.943694829940796
01334805,01334993,2.0998799800872803
01335500,01335694,2.094895124435425
01335650,0133562946,2.324982166290283
01335699,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01335700,01335494,4.0036609172821045
01335740,ERROR: 'int' object has no attribute 'extension',NaN
01335750,01335655,2.1627109050750732
01335754,ERROR: 'int' object has no attribute 'extension',NaN
01335755,0133575514,1.625053882598877
01335764,01335765,2.184321880340576
01335769,00345000,1.8336677551269531
01335771,0135749946,1.7532131671905518
01335809,01335710,2.2028908729553223
01335810,01335825,1.6673178672790527
01335827,01335830,2.973737955093384
01335900,01335995,1.5230050086975098
01336000,00345000,1.9375429153442383
01336520,00345000,1.78096604347229
01336530,ERROR: 'int' object has no attribute 'extension',NaN
01336550,00345000,2.2951149940490723
01336596,0133660090,1.6750409603118896
0133659688,00345000,1.5584540367126465
0133659692,0133659688,1.3402738571166992
0133659695,0133659692,1.4756460189819336
0133659698,0133659695,1.558825969696045
01336601,01336598,1.6480238437652588
01336816,01336814,2.285851001739502
01336817,01337018,1.6354570388793945
01337000,01336980,2.041188955307007
01337020,01337016,1.354085922241211
01337023,ERROR: 'int' object has no attribute 'extension',NaN
01337110,01337112,2.2664568424224854
01337170,01337281,1.7588238716125488
01337280,01337168,1.4860668182373047
01337310,01337334,2.0833070278167725
01337335,01337311,1.8739819526672363
01337720,01337698,1.354085922241211
01338500,01338499,1.5621449947357178
01338600,01338640,2.1597177982330322
01338650,01339052,1.7961971759796143
01338790,01338793,1.6410870552062988
01338800,01338995,1.6820030212402344
01339000,00345000,1.5570502281188965
01339020,01338985,1.7774739265441895
01339480,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01339970,01339927,2.39418888092041
01340500,01341091,1.7683641910552979
01341100,01341119,1.3526430130004883
01341120,ERROR: Error: Unimplemented conflicting series check!,NaN
01341150,ERROR: Error: Unimplemented conflicting series check!,NaN
01341500,00345000,1.7921061515808105
01342000,01342494,1.8018059730529785
01342500,00345000,1.6392266750335693
01342520,01342520,1.450282096862793
01342602,0134260211,1.5668339729309082
01342702,0134272005,2.66784405708313
01342736,01342744,1.3477089405059814
01342750,01342730,1.3492867946624756
01342755,01342758,1.4513299465179443
01342760,ERROR: Error: Unimplemented conflicting series check!,NaN
0134277110,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
0134277112,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
0134277114,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
0134277118,00345000,1.9890971183776855
013427711805,0134277118,1.3433690071105957
013427711835,013427711805,1.3501341342926025
0134277119,013427711835,1.353813886642456
0134277120,00345000,1.870619297027588
0134277121,00345000,2.16831374168396
0134277123,0134277120,1.5351266860961914
01342790,01342776,2.024954080581665
01342798,01342790,1.7652232646942139
01342800,00345000,2.0093371868133545
01343400,01343401,1.765549898147583
01343403,01343407,2.1949148178100586
01343410,01343398,1.895254135131836
01343500,01343888,1.879957914352417
01343900,01343996,1.652238130569458
01344000,ERROR: list index out of range,NaN
01344500,01336957,2.7906649112701416
01344790,01344793,1.655181884765625
01344795,ERROR: list index out of range,NaN
01344830,01344838,1.5400960445404053
01344835,01344827,1.5506210327148438
01344870,01344773,3.500868082046509
01344990,01344974,2.195466995239258
01345300,01345321,2.680781126022339
01345500,01345909,2.170654058456421
01346000,01346036,2.5778162479400635
0134600001,00345000,2.152355909347534
01346040,01346026,1.5477120876312256
01346300,ERROR: 'int' object has no attribute 'extension',NaN
01346495,01346498,1.4432358741760254
01346820,01346983,2.07183837890625
01346865,0134686569,2.05122709274292
01346900,ERROR: 'int' object has no attribute 'extension',NaN
01346999,00345000,2.3761990070343018
01347000,01347053,2.078853130340576
01347100,01347122,3.3766510486602783
01347180,01347188,1.5666100978851318
01347194,01347195,1.6606767177581787
01347200,01347350,1.8833379745483398
01347380,01347362,2.2496020793914795
01347420,01347425,2.466843843460083
01347460,01347439,2.47623610496521
01347480,01347376,2.151646852493286
01348000,01347717,2.036555051803589
01348040,01348057,1.4691290855407715
01348058,01348056,2.376528739929199
01348060,01348034,3.1582729816436768
01348125,00345000,2.406714916229248
01348700,01348792,1.700024127960205
01348795,01348799,1.579576015472412
01348800,01349029,2.8943560123443604
01348930,00345000,1.6748967170715332
01348932,01348930,1.4843308925628662
01348993,01348993,1.6525487899780273
01348995,01348994,1.8698151111602783
01349000,01348798,2.2479238510131836
0134907130,01349075,2.148719072341919
0134907140,01349067,1.5457661151885986
0134907160,01349069,1.6502273082733154
01349073,01349089,1.8597450256347656
01349075,01349067,1.8911311626434326
01349080,01349080,2.233090877532959
01349100,01349117,1.742422103881836
01349108,01349097,1.6563787460327148
01349240,01349163,2.2771308422088623
01349450,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01349479,00345000,1.9379768371582031
01349480,01349479,1.8258869647979736
01349483,01349481,1.4713568687438965
01349500,01349500,1.7156307697296143
01349503,01349491,2.3984599113464355
01349514,01349512,1.8859751224517822
01349519,00345000,2.178570032119751
01349520,01349519,2.1100223064422607
01349527,00345000,1.9404270648956299
01349528,ERROR: 'int' object has no attribute 'extension',NaN
01349530,01349527,1.7302930355072021
01349532,01349525,2.198554039001465
01349533,01349532,2.1702969074249268
01349535,01349529,2.188699722290039
01349650,01349646,7.524431943893433
